feature,importance
lab_occupancy_level,0.1525603186254718
reagent_batch_id,0.14218590171797602
priority,0.04489733837002983
instrument_type,0.024708716248230744
instrument_recent_failure_rate,0.002644681359565504
ambient_temp,0.0023073251096813905
duration_to_queue_ratio,0.0022619831141186706
instrument_id,0.000171719150812244
hour_of_day,6.35181663764639e-05
experiment_type,6.303827153235631e-05
scientist_experience_level,2.4476050108712678e-05
is_weekend,0.0
days_since_start,0.0
ambient_temp_max,0.0
ambient_temp_std,0.0
telemetry_records,0.0
tel_time_span_sec,0.0
instrument_health,-5.967244348670242e-05
stress_index,-7.818063994853297e-05
scientist_workload,-0.00017966679640641915
instrument_cumulative_hours,-0.00018433271730105004
day_of_week,-0.00022592162787262726
expected_duration,-0.00033229410936479463
queue_length,-0.0005582392541054082
queue_wait_min,-0.0006202672394132636
